Časová značka,Tweet link,Mainnet address to be rewarded,,Real/Bot,Reason,Last 7 tweets
4/15/2023 12:31:53,https://twitter.com/ledang61925207/status/1647185727346835457,0x035ab598b3e62822fd3ada4f4d24ebffcb863056cc08eb7374d49e6fefa13bea,,Bot,#,#
4/15/2023 12:39:46,https://twitter.com/DOANHUN64941213/status/1647187815984406529,0x02b8dc8bdd9d540e1ecbbb544120ad2bb25541f787caa902d68da1451e3928c0,,Bot,#,#
4/15/2023 12:52:04,https://twitter.com/nguyent92934540/status/1647190898382618625,0x007ed8350c52cc44f733180cf668d07058e2748808f46762f97af4e1ef04e8f0,,Bot,#,#
4/15/2023 13:04:59,https://twitter.com/lephai15/status/1647194149404426241,0x00b974073aa97661f9c4863fea1f0d26775ba4aae407c1b687fc35c374eeb55f,,Bot,#,#
4/15/2023 13:13:12,https://twitter.com/HANAM18829243/status/1647196228181168128,0x0689299ac47d210646c1a5526ee9cde4b0399fa01b98e2959a84fb5e86b8c45d,,Bot,#,#
4/15/2023 13:23:21,https://twitter.com/lytam41693766/status/1647198758189547520,0x0433c883b6346aa9a3fbb7f97cda6e7ada87525820c093e39944a25b495d980b,,Bot,#,#
4/15/2023 13:38:06,https://twitter.com/letrung74147063/status/1647202495847071744,0x02a53ff53929b6be7f4bbfbc0e4d7d95807c2c87ace564d101fe38154abd61ce,,Bot,#,#
4/15/2023 13:48:12,https://twitter.com/trung_quac/status/1647205041756049410,0x013698c0e381a78c8fcdd9d655e72ef52130a137d08289281eadd08fec80de82,,Bot,#,#
4/16/2023 8:23:14,https://twitter.com/trankha69496552/status/1647485522493997056,0x05c295e19f9fc4512bffcbf13f8afa1a96d889178ce1fb7521c78edf8153fd64,,Bot,#,#
4/16/2023 8:37:35,https://twitter.com/DOHUNG06965945/status/1647489140727111680,0x06059a21107451b5fa4fcfd059f58080c03f3b2e50a616a1e11e840ab37e0fd8,,Bot,#,#
4/16/2023 8:45:39,https://twitter.com/letrung48625573/status/1647491273199325184,0x0602ab64407c797f8ba806de89c3ee839e40d18393454adf12935037a5a112cb,,Bot,#,#
4/16/2023 8:56:41,https://twitter.com/tientrong8/status/1647493883511840768,0x00b2e726d4366a52ac3d2189ad74728803c8709d568bb5b11d3ab00850183596,,Bot,#,#
4/16/2023 9:07:49,https://twitter.com/NAMYET4/status/1647496779091570689,0x02b3ad7cbda4bac9a923948e471053b6643dcbf5635c90b15b5e8dbdee835dae,,Bot,#,#
4/16/2023 9:19:14,https://twitter.com/sinhton8/status/1647499643377561600,0x07816325ff33d546c5d8c81a1e8991156b21c384cf593a975037e0b1c737728a,,Bot,#,#
4/16/2023 9:28:30,https://twitter.com/binhba6/status/1647501973065957378,0x0260e74507a6d5e9d4a46c377279e58aac0ecbdce0095dc6db3e4b6e1f8cc7eb,,Bot,#,#
4/16/2023 9:38:32,https://twitter.com/miningsolarvn/status/1647504582057279488,0x079bb088baecb00e6b71a4546d4b8b18ba328abe91acc80619e0bb7741adb12e,,Bot,#,#
4/16/2023 9:53:05,https://twitter.com/LYSON09696494/status/1647508182821126146,0x0154b735d8cd5cbd32ea2845f70f5fef6537eba2f80df3c3ed7c4b5ffd6a846d,,Bot,#,#
4/16/2023 10:01:49,https://twitter.com/CONCO84191877/status/1647510428132724736,0x06006ebe96ca1275d9036a176c73336e43b51a04b84cde88148d43c3be5def49,,Bot,#,#
4/16/2023 10:14:33,https://twitter.com/songtu91201395/status/1647513555531612160,0x01cdea8f2c25e9a81ec71b9180a6d00e78a9f995d83e84c65e3fb455f3dad839,,Bot,#,#
4/16/2023 11:53:29,https://twitter.com/NGUYENT86416333/status/1647538497518198785,0x06f97bf65ce3ad194503e8417497cfb7dc0c5109626e52a6272777103c9ff4db,,Bot,#,#
4/16/2023 12:04:25,https://twitter.com/trungdung781/status/1647541283613974528,0x01074268536f26372798c08735c9a92dc7491d65abffbb9e66d313c6d4312b02,,Bot,#,#
4/16/2023 12:15:34,https://twitter.com/TRANHONG141/status/1647544047685480448,0x043680ddc069e06dac6828987978cd854786170c873ea0b0625d8c6b508fcace,,Bot,#,#
4/16/2023 12:25:03,https://twitter.com/lenam419/status/1647546440053575683,0x0169664a5c44e5d25b2b2ac0137c9255183816b063fc4db15aff93bd5e600330,,Bot,#,#
4/16/2023 12:33:40,https://twitter.com/hatienfec/status/1647548575054991360,0x020d825ece550865b87fb7e85264816d66f07b9480f9eb7d5eacca7dd7d9f982,,Bot,#,#
4/16/2023 12:50:28,https://twitter.com/tranlonghpd/status/1647552647833214977,0x016bc5b399f9e8095afc770e37912aeecdd8b55b7c237ef4bc43aeef878cd6a7,,Bot,#,#
4/16/2023 13:00:29,https://twitter.com/trankhaifwb/status/1647555365603790848,0x05fc803fa2b1c6df401f5aa0f7108ea4d85077c4e820af232cd56f5669b74099,,Bot,#,#
4/16/2023 13:09:40,https://twitter.com/nguyenh37157933/status/1647557672097714176,0x017e1fc95ba88fdcfac0f89da86e919c75e226e5e65b58081fc2f3cb4b084b33,,Bot,#,#
4/16/2023 13:21:47,https://twitter.com/doanlangref/status/1647560712385069058,0x07735b97def23cee5c45f424b32cfd3a454ba9077e9b082da69a7376e1bf78e3,,Bot,#,#
4/16/2023 13:29:55,https://twitter.com/lykhoanaw/status/1647562713760137217,0x01cb996c0294790855e2bdb6e8393322625348439701445dff91221a1c1081ca,,Bot,#,#
4/17/2023 13:53:44,https://twitter.com/Dani_Alvarino/status/1647930477897043968?s=20,0x58569cf0537dc5919aafcd130e3014265cd2c82ffd378bb17d5985099e93448,,Real,Original tweets,"MintDAO 26 april, Syncswap 18 april, Carmine options 17 april, Michael 17 april, Jali 15 april, ODELL 16 april, mantle 16 april, notEezzy 15 april."
4/29/2023 15:21:04,https://twitter.com/puddington78/status/1652300502506385408,0x055E0e6BbB31B295f9c11bDe85Fc1fB425bF1e1A86497dF4364AD862697705C9,,Real,It's me :),"Minted 1 may, MintDAO 26 april, Derivio 1 may, BeJoe 28 april, BeJoe 23 april, Carmine 29 april, StarkFighter 28 april."
